id,language,current_emotion,transcript,true_emotion,notes
en_mahabharata_0045,en,fearful,"The Vasus were scared. 
They cried and prayed for his mercy. 
Only Prabhasa, the eighth Vasu, the one who stole the cow, stood defiant.",,
en_mahabharata_e67_0035,en,fearful,Right. No other human being can defeat Karna.,,
te_audiobook_bhumiputri_0012,te,neutral,"వస్తోంది అంటే అతనికి చాలా ఉత్సాహంగా ఉంది. సంతోషంగా కూడా ఉంది. ఊపిరి సలపకుండా కబుర్లు చెప్పి తనని ఉక్కిరిబిక్కిరి చేస్తోంది. ఎక్కడా క్షణం సేపు కుదురుగా నులిచోదు, తనని నులిచోనివ్వదు. ఆ పెద్ద పెద్ద కాటు",,
te_audiobook_kalalavelugu_0014,te,neutral,అతనికి వెళ్లాలని చాలాసార్లు అనిపించింది. ఆ కోరికని బలవంతంగా అంచుకున్నాడు.,,
te_audiobook_kalalavelugu_0045,te,neutral,నా ఇంట్లో ఉండనిస్తున్నాను. ఇష్టం లేని మొగవాడి చేత ఏ కోర్టు బలవంత పెట్టి సంసారం చేయించలేదు. నీకు దిక్కున చోట చెప్పుకో.,,
te_kathalu_epic_0014,te,neutral,అలా చూస్తూ ఉండగానే ఆ రోజు రాజు దేవదత్తుడు అక్కడి నుండి వెళ్ళిపోయాడు. తర్వాత ఏమైంది? నేను అక్కడే మరి కొన్ని రోజులు ఉండాల్సి వచ్చింది. అప్పుడు ఆ బిచ్చగాడిలో ఏదో మార్పు చూశాను.,,
te_audiobook_bhumiputri_0008,te,happy,అదేమిటి ఏమన్నా భాషా ఆహా భాషే కా భాష కనకదుర్గ అల్లా క క కన క క క దు కర్గ అయ్యింది అన్నాడు మళ్ళీ నవ్వుతూ అరే తమాషాగా ఉందే ఎట్లా మాట్లాడుతారు నాకు కూడా నేర్పు ఆ గొడవ నాకు రాదు,,
te_audiobook_bhumiputri_0018,te,happy,ఇవన్నీ ఇవన్నీ తనకి అతి ముఖ్యమైన సంతోషప్రదమైన అనుభవాలు దుర్గా ఇలా వచ్చిందని తెలిస్తే తనని కలుసుకున్నదని వింటే పెద్దమావయ్య తాగినవాడిలా గంతులేస్తాడు మావయ్యకి తెలిసే వస్తువు,,
te_audiobook_kalalavelugu_0029,te,happy,భోంచేయనని నీకెలా తెలుసు? తెలుసు మీకు ఇంటి నుంచి క్యారియర్ రాదు. ఆ హోటల్ తిండి మంచిది కాదు. చాలాసార్లు మీరేమీ తినకుండా ఉండటం చూశాను. అంది పద్మలత. పద్మలత తను అనుకున్నంత పిచ్చిది కాదు తన అలవాట్లని.,,
te_motivation_kasyap_0017,te,happy,లోన్లీగా ఉండొద్దు. లవ్లీగా ఉండాలి కదా? అవును. లవ్లీగా ఉంటే బబ్లీగా ఉంటాం. ఎస్. రైట్. నౌ ఈ లోన్లీకి లవ్లీకి ఒకే ఒక్క లెటర్ తేడా ఉంది.,,
te_audiobook_bhumiputri_0006,te,sad,"క కదు కర్గ.
సంతకం చూసి రామకృష్ణ ఫకాలున నవ్వాడు. 
తను పైకి నవ్వుతున్నానని ఆ శబ్దం చుట్టూ వారికి వినిపిస్తుందని రామకృష్ణకి తట్టలేదు. 
పకపకా నవ్వాడు. 
ఎందుకోయ్ అంత నవ్వు అడిగాడు.",,
te_audiobook_kalalavelugu_0022,te,sad,మీరే చాలా సీరియస్ గా విచారంగా ఉన్నట్లు ఉండేవారు. మీకు ఇంట్లో ఆగిపోయింది పద్మ. అతను సంభాషణ పొడిగించలేదు. ఇలా తన సంసార జీవితం గురించి ఎటువంటివి వినాల్సి వస్తుందో అన్న శంకతో.,,
te_audiobook_kalalavelugu_0040,te,sad,"కళ్ళల్లో తృప్తి, మనుషుల్లో తెగువ వచ్చాయి. 
రామచంద్రం 15, 20 రోజులైతే గాని ఇంటికి వెళ్లటం లేదు. 
అన్నాళ్ళు భర్త ఇంటికి రాకపోవడం వల్ల రవణమ్మకి ఆర్థికంగా పెద్ద ఇబ్బంది ఏమీ లేదు. 
పైపెచ్చు.",,
te_ramaaraavi_0011,te,sad,ఒక్కో పువ్వు చూస్తూ వాటిల మధ్యలో తిరగటం మొదలు పెట్టింది. తేనెలు తాగుతూ తుమ్మెదలు. ఎంత కాలం అసలు మనుషులు తిరిగే చోటల్లే లేదది. అయితే చూసి చూసి చూసి ఇంక వెళ్ళిపోదాం రెండు పువ్వులు కోసి తలలో పెట్టుకుందామని ఒక పువ్వు తెంపింది.,,
te_audiobook_bhumiputri_0009,te,angry,కా భాష అంటూ మా దుర్గా చకచకా మాట్లాడేస్తుంది. అది చెప్పేది మూడో వాడికి చస్తే అర్థం అవ్వదు. ఆ కా భాష వచ్చిన వాళ్ళకి తప్ప నీకు వచ్చా అన్నాడు శంకరరావు. చాలాసార్లు ప్రయత్నించింది నాకు.,,
te_audiobook_kalalavelugu_0008,te,angry,చిమ్మ చీకటిగా ఉంటే ఇంట్లో మనుషులు లేరని ఏ దొంగవాడైనా తలుపులు బద్దలు కొట్టి చొరబడొచ్చు. ఏమి రాడు వస్తే మటుకు నేను లేనా? అంది రమణమ్మ సవాల్ చేస్తూ. అవును దొంగకు మటుకు భయం ఉండదా ఆ ఆకారం?,,
te_audiobook_kalalavelugu_0042,te,angry,మళ్ళీ ఎవెత్తెన మరిగారు పెళ్ళాం బిడ్డలు అక్కర్లేదా పది రోజుల తర్వాత ఇంటికి వచ్చిన మొగుడిని అడిగింది రమణమ్మ నా ఇష్టం నాకు ఎప్పుడు రావాలని ఉంటే అప్పుడు వస్తాను మేము ఏమైపోతామన్న బాధ కూడా లేదా ఏం బాగానే ఉన్నారుగా ఏం కాలేదుగా,,
te_motivation_kasyap_0010,te,angry,నా చుట్టుపక్కల లేకపోవటం. అవును. నాతో లేకపోవటం లేదా నేను ప్రేమించిన వాళ్ళు నాతో లేకపోవటం.,,
te_audiobook_bhumiputri_0019,te,excited,"ఉందా? ఎందుకు వస్తోంది? 
ఏవోయ్ కృష్ణావతారం ఎంతకీ మాట్లాడవేం ఎవరా ప్రేయసి అంత ఘాటుగా ఉందా ఆ ప్రేమ లేక. 
శంకరరావు మాటలకి ఈ లోకంలోకి వచ్చి పడ్డాడు రామకృష్ణ. 
ఏమిటి అన్నాడు.",,
te_audiobook_bhumiputri_0042,te,excited,కలుగుతూ ఉంటుంది. దుర్గ వస్తుంది. దుర్గ మూడున్నర బస్సులో దిగుతుంది. తను బస్ స్టాండ్ కి వెళ్లి చెయ్యి అందించి ఆగిన బస్సులోంచి దుర్గని దించుకుంటాడు. తర్వాత ఈ దుర్గని ఎక్కడ ఉంచాలి? ఎందుకు వస్తోంది? ఎన్ని రోజులు ఉంటుంది?,,
te_kathalu_epic_0017,te,excited,అలా ఆలోచించి ఆలోచించి చివరికి ఆ బిచ్చగాడు అక్కడే ఉన్న కోనేరులో దిగి,,
te_ramaaraavi_0006,te,excited,"అలా నడుచుకుంటూ వెళ్ళిపోయిందట ఆ అమ్మాయి. 
చెలికత్తెలు చూశారు చూశారు ఏదో వెళ్తా ఉంది ఈవిడ పిలిచేసరికి విసుక్కుంది. 
సర్లే పాత ఆవిడ తిరిగి వస్తుందని అంతకుముందు కూడా కాసేపు అలా నడుచుకుంటూ వెళ్లి తిరిగి వస్తుండేది. 
ఓ పూట వాళ్ళు వదిలేశారు ఈవిడ వెళ్ళిపోయింది ఎక్కడికో.",,
te_audiobook_bhumiputri_0000,te,calm,"హాయ్ అండి, అందరికీ నమస్కారం. వెల్కమ్ టు ఎస్ ఎస్ హోమ్ క్రియేషన్స్. నా పేరు సుజన. ఈరోజు నేను మాలతి చందుర్ గారు రచించిన భూమిపుత్రి అనే నవల మీ ముందు",,
te_audiobook_kalalavelugu_0023,te,calm,ఆమె పెదవుల్ని తన పెదవులతో మూసేసాడు. చేతికి నిండుగా మెత్తగా తగులుతున్న ఆమె దేహాకృతి అతనికి,,
te_kathalu_epic_0020,te,calm,"ఆ రాజు చెప్పిన మాటలకు బాధపడ్డావా?
లేదు, ఆలోచనలో పడ్డాను.
అతను చెప్పింది ముమ్మాటికి నిజమే అనిపించింది.
ఎదుటి వాళ్ళకి ఇవ్వడానికి మన దగ్గర ఏమీ లేనప్పుడు వాళ్ళ నుంచి ఆశించడం కూడా తప్పే అవుతుంది.",,
te_kathalu_epic_0038,te,calm,పరాక్రమం కనపడింది. నాకు ఆ తరువాత కొద్ది రోజులకు ఆ విషయం అన్ని రాజ్యాలకు పాకింది. దాంతో ఆయన రాజ్యం వైపు కానీ ఆయన వైపు కానీ ఎవ్వరూ చూడడానికి సాహసించలేదు. అలాగే ఆ కుటుంబం మీద ఉన్న శాపం కూడా తొలగిపోయింది. ఇప్పుడు చాలా ఏళ్ల నుండి రెండు రాజ్యాలకు దేవదత్తుడే రాజు. ఆయన ముందు చూపు తెలియ,,
te_audiobook_bhumiputri_0027,te,fearful,దుర్గ ఎందుకు వస్తోంది అన్న ప్రశ్న పదే పదే మెదడు తిరుగుతోంది. ఇంత సడన్ గా ఎందుకు వస్తోంది? అసలు పెద్ద మావయ్య వాళ్ళకి తెలిసే బయలుదేరుతోందా? ఒకవేళ సరస్వతి ఇది కలిసి వస్తున్నారా? సరస్వతిని తలుచుకోగానే రామకృష్ణకి,,
te_audiobook_kalalavelugu_0004,te,fearful,ఇంట్లో తను చేసే రాజకార్యం ఏముంది? రవణమ్మ ఆరైటప్పటికి భోంచేస్తుంది. కరెంట్ ఖర్చు అవుతుందేమోనని భయం.,,
te_audiobook_kalalavelugu_0016,te,fearful,నా మీద కోపం వచ్చిందనుకున్నాను దేనికి మీకు తగినదాన్ని కాదని నాకు చదువు లేదు పెద్ద పెద్ద విషయాలు తెలియవు అయినా మీరు నా మీద అభిమానం చూపిస్తున్నారు మా ఇంటికే వస్తున్నారు నేనంటే మీకు అసహ్యమని నాకు తెలుసు అసహ్యమా దేనికి,,
te_kathalu_epic_0011,te,fearful,"అయ్యా రాజుగారా, నా ఖాతా బిచ్చం వేయండి. 
నేను నీకు బిచ్చం వేస్తే నువ్వు నాకు ఏమిస్తావ్? 
అదేంటి రాజుగారు, నేను మీకేమిచ్చుకోగలను? 
ఓ, నేను ఇప్పుడు రాజుగా రాలేదు.",,
te_audiobook_kalalavelugu_0025,te,surprised,పక్క చిన్న టేబుల్ మీద షేవింగ్ సామాను అద్దం రెడీగా ఉన్నాయి. అరె ఇవన్నీ ఎప్పుడు తెప్పించావ్? అడిగాడు రామచంద్రం ఆశ్చర్యంగా. మొన్న లుంగీలు తెచ్చినప్పుడే తీసుకొచ్చాను అంది పద్మ.,,
te_audiobook_kalalavelugu_0049,te,surprised,రవణమ్మ మతిపోయిన దానిలా చూడటం మొదలు పెట్టింది. రామచంద్రానికి ఇంత ధైర్యం ఎలా వచ్చింది? ఎవరిని చూసి ఇంత దీప్తి,,
te_kathalu_epic_0013,te,surprised,"నీ దగ్గర ఇతరులకు ఇవ్వడానికి ఏమీ లేనప్పుడు, వాళ్ళ దగ్గర నుంచి నువ్వు ఏమీ ఆశించకూడదు.
ఆ మాట వినగానే ఆ పిచ్చగాడితో పాటు నేను ఆశ్చర్యపోయాను. అసలు రాజు ఇలా మాట్లాడతాడని నేను ఊహించలేదు.",,
